Month,4YO Slpr,4YO Dycb,5YO Slpr,5YO Dycb,6YO Slpr,6YO Dycb
Jan-22,123000,101000,108000,98000,77000,54000
Feb,130000,105000,113000,101000,79000,56000
Mar,138000,118000,117000,115000,86000,67000
Apr,140000,118000,118000,117000,93000,65000
May,140000,116000,116000,116000,94000,63000
Jun,136000,117000,111000,110000,91000,65000
Jul,123000,110000,107000,104000,89000,63000
Aug,115000,103000,102000,98000,83000,64000
Sep,107000,97000,98000,93000,79000,62000
Oct,103000,93000,93000,88000,72000,61000
Nov,98000,87000,89000,83000,66000,59000
Dec,90000,82000,77000,76000,61000,58000
Jan-23,105000,99000,77000,73000,67000,59000
Feb,92000,92000,71000,70000,64000,57000
Mar,88000,90000,69000,66000,58000,54000
Apr,86000,88000,65000,63000,55000,51000
May,84000,86000,62000,60000,52000,48000
Jun,81000,84000,59000,57000,48000,45000
Jul,79000,82000,56000,55000,45000,43000
Aug,76000,79000,53000,53000,43000,41000
Sep,73000,76000,51000,51000,41000,40000
Oct,70000,73000,50000,49000,39000,38000
Nov,67000,70000,47000,47000,38000,36000
Dec,65000,67000,45000,45000,36000,35000
Jan-24,95000,88000,59000,57000,47000,44000
Feb,77000,80000,55000,55000,45000,43000
Mar,78000,78000,57000,53000,45000,43000
Apr,76000,76000,56000,51000,44000,42000
May,74000,75000,54000,49000,43000,41000
Jun,73000,74000,52000,48000,42000,40000
Jul,71000,72000,50000,47000,41000,39000
